thesis,subject
"

Multilevel Uncertainty Quantification Methods for Robust Design of Industrial Applications",Mathematics Subject Classification: 65—Numerical analysis
"

Efficient algorithms for DNS-based optimal control of turbulent flows",Mathematics Subject Classification: 65—Numerical analysis
"

A Component Environment of High Performance Scientific Computing - Design and Implementation",Mathematics Subject Classification: 68—Computer science
"

Navier-Stokes Type-like Systems With Boundary Conditions Involving The Pressure",Mathematics Subject Classification: 35—Partial differential equations
"

Construction and Analysis of Compact Residual Discretizations for Conservation Laws on Unstructured Meshes",Mathematics Subject Classification: 65—Numerical analysis
"

Modélisation et étude numérique de quelques écoulements de fluides complexes en micro-fluidique",Mathematics Subject Classification: 35—Partial differential equations
"

Sobre difusiones Ornstein-Uhlenbeck multidimensionales y transformadas del
Wiener: Aplicaciones a la Ecología",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Global Regularity for Incompressible Fluid Interfaces",Mathematics Subject Classification: 76—Fluid mechanics
"

Pulse Propagation in Random Optical Fibers",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Parametric estimation of covariance function in Gaussian-process
based Kriging models.
Application to uncertainty quantification for computer models",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Using Poisson processes for rare event simulation",Mathematics Subject Classification: 62—Statistics
"

Study of different Models of the Evolution and Motion of Cell Populations",Mathematics Subject Classification: 35—Partial differential equations
"

Problèmes d'interaction entre un fluide newtonien incompressible et une
structure (Mathematical problems of interactions between an incompressible",Mathematics Subject Classification: 35—Partial differential equations
"

The inhomogeneous Muskat problem",Mathematics Subject Classification: 76—Fluid mechanics
"

On the splat singularity for the Muskat problem",Mathematics Subject Classification: 76—Fluid mechanics
"

Stability Near Hydrostatic Equilibrium in Fluid Mechanics",Mathematics Subject Classification: 76—Fluid mechanics
"

Analytical and Computer-Assisted Proofs in Incompressible Fluids",Mathematics Subject Classification: 76—Fluid mechanics
"

Fluid Interface Problems In Incompressible Flows",Mathematics Subject Classification: 76—Fluid mechanics
"

Absence of Simple Hyperbolic Blow-up for the Quasi-Geostrophic and Euler Equations.",Mathematics Subject Classification: 76—Fluid mechanics
"

Nonlinear and Nonlocal Models in Fluid Mechanics",Mathematics Subject Classification: 76—Fluid mechanics
"

Contribution to the control of high-order partial differential equations",Mathematics Subject Classification: 93—Systems theory; control
"

Détection d'un objet immergé dans un fluide",Mathematics Subject Classification: 76—Fluid mechanics
"

Bloch Approximation in Homogenization and Applications",Mathematics Subject Classification: 35—Partial differential equations
"

Una contribución a la modelización de la tendencia en series temporales",Mathematics Subject Classification: 62—Statistics
"

Minimization of the ground state of the mixture of two conducting materials in a small contrast regime",Mathematics Subject Classification: 35—Partial differential equations
"

The Inverse Problem of Obstacle Detection Via Optimization Methods",Mathematics Subject Classification: 35—Partial differential equations
"

",Mathematics Subject Classification: 35—Partial differential equations
"

On a scalar conservation law with discontinuous source and an inverse problem for a bioconvective ow with applications",Mathematics Subject Classification: 35—Partial differential equations
"

Estudio de un Problema Inverso para una Ecuación Parabólica Degenerada con Aplicaciones a la Teoría de la Sedimentación",Mathematics Subject Classification: 65—Numerical analysis
"

The Poincaré problem in differential equations with almost periodic type coefficients and an inverse problem for a model of inderectly transmitted diseases",Mathematics Subject Classification: 35—Partial differential equations
"

Modelación Matemática del Proceso de Lixiviación en Pilas para la Producción de Cobre",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical and numerical analysis for several models of population dynamics with nonlinear diffusion.",Mathematics Subject Classification: 65—Numerical analysis
"

On a Geometrical Inverse Problem in Fluid Mechanics",Mathematics Subject Classification: 35—Partial differential equations
"

Water-Waves Equation and Free Boundary Problems: Inverse Problems and Control",Mathematics Subject Classification: 35—Partial differential equations
"

Problemas Inversos y Cálculo de Variaciones: Aplicaciones a la Biología y al Análisis de Imágenes",Mathematics Subject Classification: 35—Partial differential equations
"

Etude de quelques questions mathematiques liees a l Optique Adaptative",Mathematics Subject Classification: 93—Systems theory; control
"

Sur la contrôlabilité exacte d'équations dispersives issues de la mécanique",Mathematics Subject Classification: 93—Systems theory; control
"

Contrôlabilité et stabilisation frontière pour l'équation de Korteweg-de Vries",Mathematics Subject Classification: 35—Partial differential equations
"

Boa Colocação e Controlabilidade da Equação de Kawahara em Espaços de Sobolev com Peso",Mathematics Subject Classification: 93—Systems theory; control
"

Gr-catégories",Mathematics Subject Classification: 14—Algebraic geometry
"

Dynamique non linéaire des filaments d'actine et d'ADN",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Control of dispersive equations for water waves",Mathematics Subject Classification: 93—Systems theory; control
"

Analyse mathématique et contrôle optimal de lois de conservation multi-échelles: Application à des populations cellulaires structurées",Mathematics Subject Classification: 93—Systems theory; control
"

Nonlinear Elliptic Equations with Critical Sobolev Exponents",Mathematics Subject Classification: 35—Partial differential equations
"

Equations aux dérivées partielles elliptiuqes non linéaires : Equation de Ginzburg-Landau, Equation de Bahri-Coron sur-critique",Mathematics Subject Classification: 35—Partial differential equations
"

Explosion de cycles: analyses qualitatives, simulations numériques et modèles.",Mathematics Subject Classification: 34—Ordinary differential equations
"

Relaxation et Oscillations en Salves",Mathematics Subject Classification: 34—Ordinary differential equations
"

Géométrie analytique des champs de vecteurs et des difféomorphismes",Mathematics Subject Classification: 34—Ordinary differential equations
"

Solutions propagatives dans les réseaux hamiltoniens discrets et les systèmes de réaction-diffusion",Mathematics Subject Classification: 35—Partial differential equations
"

Two examples of reaction-diffusion front propagation in heterogeneous media",Mathematics Subject Classification: 35—Partial differential equations
"

Méthodes de variétés invariantes pour les équations de Saint Venant et les systèmes hamiltoniens discrets",Mathematics Subject Classification: 35—Partial differential equations
"

Conception optimale de forme en aerothermique.",Mathematics Subject Classification: 65—Numerical analysis
"

Sur la théorie et l'approximation numérique de problèmes hyperboliques non linéaires. Application aux équations de Saint-Venant et à la modèlisation des avalanches de neige dense",Mathematics Subject Classification: 35—Partial differential equations
"

Contribution à l'approximation numérique des systèmes hyperboliques.",Mathematics Subject Classification: 65—Numerical analysis
"

Minimizing communication for incomplete factorizations and low-rank approximations on large scale computers",Mathematics Subject Classification: 65—Numerical analysis
"

Méthodes numériques pour des systèmes hyperboliques avec terme source provenant de physiques complexes autour du rayonnement",Mathematics Subject Classification: 65—Numerical analysis
"

Etude d’estimations d’erreur a posteriori et d’adaptivité basée sur des critères d’arrêt et raffinement de maillages pour des problèmes d’écoulements multiphasiques et thermiques : Application aux procédés de récupération assistée d’huile",Mathematics Subject Classification: 65—Numerical analysis
"

Différents aspects de problèmes aux dérivées partielles multi-échelles, modélisation, études théoriques et numériques",Mathematics Subject Classification: 65—Numerical analysis
"

Complexity reduction methods applied to the rapid solution to multi-trace boundary integral formulations",Mathematics Subject Classification: 65—Numerical analysis
"

Development of high-order well-balanced schemes for geophysical flows",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical Modeling and Numerical Methods for Non-classical Transport in Correlated Media",Mathematics Subject Classification: 65—Numerical analysis
"

High-order asymptotic-preserving numerical scheme for radiation hydrodynamics",Mathematics Subject Classification: 65—Numerical analysis
"

Etude de systèmes hyperboliques non linéaires : conditions aux limites, approximation numérique et application à l'aérodynamique",Mathematics Subject Classification: 65—Numerical analysis
"

Numerical Methods for the Dynamic Analysis of Two-Scale Incompressible Nonlinear Structures",Mathematics Subject Classification: 65—Numerical analysis
"

Methods and algorithms for solving linear systems of equations on massively parallel computers",Mathematics Subject Classification: 68—Computer science
"

Solving liner systems arising from reservoirs modelling",Mathematics Subject Classification: 65—Numerical analysis
"

Prédiction de structure et algorithmique parallèle pour la factorisation LU des matrices creuses",Mathematics Subject Classification: 68—Computer science
"

Scalable Algorithms for Outlier Detection",Mathematics Subject Classification: 68—Computer science
"

Numerical Methods for Nonlinear Elliptic and Parabolic Equations. Application to flow problems in porous and fractured media",Mathematics Subject Classification: 65—Numerical analysis
"

Common and Unique Feature Learning for Data Fusion",Mathematics Subject Classification: 68—Computer science
"

Numerical Approximation of Flows in Random Porous Media",Mathematics Subject Classification: 65—Numerical analysis
"

Models Linking Epidemiology with Immunology and Ecology",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Scalable factorization model to discover implicit and explicit similarities across domains",Mathematics Subject Classification: 68—Computer science
"

Game theoretical adversarial deep learning algorithms for robust neural network models",Mathematics Subject Classification: 68—Computer science
"

Optimal Control Applied to Population and Disease Model",Mathematics Subject Classification: 93—Systems theory; control
"

New Methods for Mining Sequential and Time Series Data",Mathematics Subject Classification: 68—Computer science
"

",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Applications of Optimal Control Theory to Wave Equations and a Predator-Prey Model",Mathematics Subject Classification: 35—Partial differential equations
"

Modeling Feral Hogs in Great Smoky Mountains National Park",Mathematics Subject Classification: 92—Biology and other natural sciences
"

A method to accomplish the optimal control of continuous dynamical systems
with impulse controls via discrete optimal control and utilizing optimal control
theory to explore the emergence of synchrony",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Mathematical Approaches to Sustainability Assessment and Protocol Development for the Bioenergy Sustainability Target Assessment Resource (Bio-STAR)",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Spatial dynamic models for fishery and waterborne disease control",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Optimal Control of Partial Differential Equations and Variational Inequalities",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Two Biological Applications of Optimal Control to Hybrid Differential Equations and Elliptic Partial Differential Equations",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Robust and adversarial data mining",Mathematics Subject Classification: 68—Computer science
"

Novel Applications Using Latent Variable Models",Mathematics Subject Classification: 68—Computer science
"

Outlier Detection in High Dimensional, Spatial and Sequential Data Sets",Mathematics Subject Classification: 68—Computer science
"

Large Scale Anomaly Detection and Clustering Using Random Walks",Mathematics Subject Classification: 68—Computer science
"

Advanced Methods for Mining Adversarial and Imbalanced Data",Mathematics Subject Classification: 68—Computer science
"

Applications with Discrete and Continuous Models: Harvesting and Contact Tracing",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Optimal Control of Species Augmentation Conservation Strategies",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Population Modeling for Resource Allocation and Antimicrobial Stewardship",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Modeling the Effects of Alternative Harvesting Strategies on the Black Bear Population of the Southern Appalachians",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Models of the Photosynthetic Dynamics of Fragaria Virginiana",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Spatial Heterogeneity in Ecological Models: Two Case Studies",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Three Population Models Applied to Competition, Disease and Invasion.",Mathematics Subject Classification: 35—Partial differential equations
"

Campos aleatoris lognormales",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

A numerical model for generation and primary migration of hydrocarbons",Mathematics Subject Classification: 65—Numerical analysis
"

Numerical Approximation of the
Electrical Activity in the Left Ventricle with the Inclusion of the Purkinje Fibers",Mathematics Subject Classification: 65—Numerical analysis
"

A finite element algorithm for modelling of compressible flows",Mathematics Subject Classification: 65—Numerical analysis
"

Patient-Specific Modeling in Cardiac Electrophysiology: Parameter Estimation and Personalization",Mathematics Subject Classification: 65—Numerical analysis
"

Adjoint-based parameter estimation in human vascular one dimensional models",Mathematics Subject Classification: 65—Numerical analysis
"

Fluid-Structure Thermal Coupling And Ablation Effects In Atmospheric Entry",Mathematics Subject Classification: 65—Numerical analysis
"

Finite Element Methods for Three-Dimensional Free Surface Flows",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical and Numerical Modeling of Blood Flow Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Numerical Analysis of Mixed Formulations for
Bingham Fluids",Mathematics Subject Classification: 65—Numerical analysis
"

Numerical Modeling of Defective Boundary Problems in Incompressible Fluid-Dynamics",Mathematics Subject Classification: 65—Numerical analysis
"

Multilevel Preconditioners for Elliptic Problems with Multiple Scales",Mathematics Subject Classification: 65—Numerical analysis
"

Dynamical Low Rank approximation of PDEs with random parameters",Mathematics Subject Classification: 65—Numerical analysis
"

Multi Level Monte Carlo Methods for Uncertainty Quantification and Robust Design Optimization in Aerodynamics",Mathematics Subject Classification: 65—Numerical analysis
"

Regression with PDE penalization for modelling functional data with spatial and spatio-temporal dependence",Mathematics Subject Classification: 62—Statistics
"

Analysis and approximation of moment equations for PDEs with stochastic data",Mathematics Subject Classification: 65—Numerical analysis
"

Preconditioners and multi-domains techniques for the numerical approximation of elliptic problems",Mathematics Subject Classification: 65—Numerical analysis
"

Interior Penalty Finite Element Approximation of Navier-Stokes Equations and Application to Free Surface Flows",Mathematics Subject Classification: 65—Numerical analysis
"

Ein Eindeutigkeitsresultat bzw. Konvergenzverhalten für die STOKES- und NAVIER-STOKES- Probleme auf unendlichen bzw. halb- unendlichen Zylindern mit Querschnitten schwacher Regularität",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

A COMPUTATIONAL MODEL FOR FLUID-POROUS STRUCTURE INTERACTION",Mathematics Subject Classification: 65—Numerical analysis
"

FEM for PDEs with unfitted interfaces: application to flow through heterogeneous media and microcirculation",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical and Numerical Modeling of Mass Transfer in the Vascular System",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical and Numerical Modeling of Healthy and Unhealthy Cerebral
Arterial Tissues",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical and Numerical Modeling of Blood Flow in an Idealized Left Ventricle",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical analysis of boundary integral equations and domain decomposition methods with applications in polarisable electrostatics",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical Analysis of the Motion of a Rigid Body in a Viscous Liquid.",Mathematics Subject Classification: 35—Partial differential equations
"

Mathematical modelling and numerical simulations of blood coagulation",Mathematics Subject Classification: 65—Numerical analysis
